order_item_id,order_id,product_id,quantity
156,286,44,4
157,146,17,5
158,77,22,1
159,299,43,2
160,180,20,4
161,67,39,1
162,159,36,4
163,169,9,5
164,48,42,4
165,261,24,1
166,186,20,2
167,110,22,4
168,99,15,2
169,80,5,3
170,52,33,5
171,270,3,3
172,68,39,4
173,79,11,2
174,85,47,4
175,23,27,3
176,122,29,5
177,146,49,4
178,120,35,2
179,159,31,2
180,189,44,5
181,226,30,3
182,196,33,5
183,215,11,2
184,71,17,1
185,247,24,5
186,53,46,5
187,64,19,1
188,83,18,4
189,263,10,4
190,47,15,4
191,179,2,4
192,28,26,5
193,192,16,4
194,42,24,2
195,15,21,1
196,172,10,2
197,20,19,4
198,72,49,4
199,230,40,1
200,41,2,3
201,111,10,5
202,271,28,1
203,148,16,3
204,63,4,2
205,215,41,5
206,235,5,1
207,256,39,5
208,9,41,5
209,295,16,2
210,150,28,1
211,181,16,5
212,214,12,1
213,269,24,1
214,270,35,5
215,260,36,1
216,200,31,1
217,199,24,3
218,9,23,1
219,177,16,1
220,298,48,3
221,69,3,3
222,280,22,2
223,238,45,4
224,94,9,1
225,235,3,3
226,104,3,2
227,22,21,3
228,264,26,5
229,243,17,1
230,98,19,3
231,25,42,3
232,140,8,3
233,224,26,4
234,198,22,2
235,255,45,4
236,189,34,3
237,43,47,4
238,41,28,5
239,93,35,3
240,165,7,1
241,168,43,3
242,157,29,5
243,219,11,4
244,180,29,1
245,181,40,4
246,141,41,1
247,39,43,4
248,187,33,2
249,16,10,5
250,225,3,2
251,35,16,3
252,186,25,5
253,17,39,2
254,231,24,3
255,228,49,1
256,294,9,5
257,188,26,3
258,143,16,1
259,14,48,2
260,256,34,4
261,288,8,3
262,134,46,4
263,110,40,3
264,252,13,1
265,70,5,4
266,89,46,4
267,45,44,3
268,178,46,1
269,282,35,3
270,154,11,2
271,186,33,2
272,63,13,2
273,122,32,1
274,185,36,5
275,189,30,5
276,67,40,1
277,34,20,4
278,246,34,4
279,210,37,1
280,65,21,1
281,231,30,5
282,177,9,5
283,94,50,2
284,222,33,1
285,64,34,2
286,156,11,2
287,166,46,2
288,178,34,3
289,41,17,2
290,283,18,2
291,156,40,5
292,48,33,2
293,298,10,2
294,173,37,1
295,15,6,1
296,296,17,2
297,293,27,5
298,16,32,5
299,149,42,3
300,248,16,4
301,153,30,1
302,31,11,4
303,213,31,4
304,105,22,5
305,74,21,3
306,177,26,2
307,190,33,5
308,55,21,2
309,239,8,3
310,231,16,2
311,50,4,3
312,197,40,4
313,128,11,3
314,296,47,3
315,98,49,2
316,256,33,4
317,256,20,4
318,12,6,4
319,259,30,2
320,111,38,3
321,25,4,3
322,254,39,4
323,147,35,1
324,56,28,2
325,136,47,3
326,207,24,1
327,206,4,5
328,288,13,3
329,284,19,1
330,198,33,4
331,282,18,5
332,61,9,1
333,202,24,3
334,286,24,2
335,102,39,5
336,206,33,1
337,24,3,2
338,171,31,5
339,234,10,5
340,264,9,3
341,164,11,4
342,154,38,3
343,260,33,5
344,251,46,5
345,154,31,1
346,189,22,1
347,214,38,3
348,14,39,4
349,136,42,5
350,296,15,1
351,299,31,2
352,269,41,5
353,195,10,2
354,17,37,1
355,98,2,4
356,161,27,2
357,212,45,2
358,211,33,5
359,242,48,1
360,71,34,2
361,288,21,4
362,270,25,3
363,89,30,5
364,176,35,3
365,136,40,4
366,99,16,3
367,286,20,2
368,153,50,3
369,107,45,4
370,163,31,3
371,287,47,3
372,148,8,5
373,279,25,4
374,177,50,2
375,149,3,3
376,41,23,4
377,132,48,4
378,110,13,5
379,139,36,3
380,71,7,5
381,123,16,1
382,272,15,2
383,27,7,4
384,170,46,4
385,52,44,2
386,3,36,2
387,209,42,4
388,245,42,2
389,148,21,3
390,31,50,1
391,294,15,5
392,20,12,4
393,91,3,4
394,254,12,3
395,20,1,3
396,291,39,1
397,172,19,4
398,279,34,4
399,69,33,4
400,140,13,1
401,170,11,4
402,132,46,2
403,8,48,3
404,152,37,2
405,90,40,4
406,219,33,3
407,45,26,1
408,95,9,4
409,166,16,1
410,134,25,2
411,229,49,3
412,169,20,5
413,294,1,3
414,185,45,2
415,32,43,1
416,239,20,2
417,208,44,5
418,160,45,1
419,152,24,5
420,114,15,2
421,245,10,4
422,192,27,5
423,242,49,5
424,112,49,2
425,42,34,4
426,271,46,3
427,40,37,1
428,32,36,5
429,104,37,5
430,77,11,3
431,267,29,1
432,106,46,5
433,251,6,5
434,229,4,4
435,68,33,4
436,234,37,1
437,287,30,3
438,12,26,3
439,2,48,2
440,297,5,1
441,217,23,1
442,278,4,1
443,242,3,3
444,210,12,2
445,216,24,4
446,230,25,4
447,42,44,5
448,69,42,3
449,61,12,5
450,202,34,2
451,115,1,1
452,153,30,5
453,218,35,4
454,118,16,4
455,178,10,3
456,97,47,1
457,17,43,4
458,9,16,2
459,35,7,5
460,18,29,5
461,25,16,1
462,206,29,2
463,277,14,1
464,72,33,3
465,120,47,5
466,164,37,5
467,165,16,3
468,74,43,5
469,114,27,3
470,141,4,5
471,90,41,4
472,285,32,1
473,177,42,4
474,269,21,4
475,210,10,3
476,193,12,5
477,243,16,2
478,154,46,2
479,238,4,5
480,212,27,5
481,272,9,4
482,125,17,2
483,170,42,1
484,231,24,1
485,275,47,2
486,27,18,4
487,21,5,2
488,287,14,4
489,107,22,3
490,8,14,2
491,61,48,4
492,125,45,5
493,105,26,2
494,283,21,3
495,195,30,5
496,184,20,3
497,185,33,4
498,239,7,4
499,164,14,3
500,161,27,1
501,289,15,2
502,9,17,5
503,300,38,4
504,152,10,2
505,169,15,4
506,292,16,4
507,282,42,3
508,132,49,4
509,252,30,2
510,181,11,2
511,280,32,2
512,278,42,1
513,269,3,1
514,25,49,1
515,212,9,2
516,35,46,2
517,5,14,5
518,234,24,1
519,248,43,4
520,9,1,5
521,283,27,1
522,9,34,3
523,275,19,1
524,258,45,4
525,92,7,1
526,269,10,2
527,99,40,5
528,130,23,3
529,204,6,3
530,208,30,5
531,125,45,2
532,154,44,1
533,17,6,4
534,195,25,5
535,244,4,1
536,88,6,4
537,223,42,3
538,290,7,5
539,22,15,2
540,291,31,3
541,24,5,3
542,279,37,1
543,92,21,1
544,107,38,2
545,204,5,3
546,84,37,2
547,291,25,5
548,170,25,2
549,41,33,3
550,28,7,4
551,119,5,3
552,204,50,3
553,16,41,3
554,231,32,2
555,183,36,4
556,222,12,5
557,195,6,5
558,152,16,1
559,43,18,2
560,195,46,2
561,200,21,3
562,55,6,1
563,158,29,3
564,139,7,2
565,45,12,4
566,230,36,5
567,263,27,1
568,14,6,3
569,284,6,5
570,167,25,1
571,150,27,4
572,44,47,5
573,125,37,5
574,87,44,4
575,87,9,3
576,155,18,4
577,75,5,2
578,223,18,4
579,154,31,1
580,185,17,2
581,254,39,5
582,101,30,1
583,70,20,1
584,203,22,5
585,195,22,4
586,172,28,5
587,70,20,3
588,103,31,3
589,91,26,3
590,150,48,4
591,295,16,3
592,193,18,4
593,187,8,5
594,103,38,5
595,93,44,5
596,14,47,4
597,108,29,3
598,36,27,4
599,72,41,3
600,124,17,2
