order_id,customer_id,order_date,status
173,39,2023-10-16,Completed
174,16,2023-05-08,Returned
175,78,2023-08-02,Returned
176,29,2023-11-13,Returned
177,58,2023-07-14,Cancelled
178,76,2023-06-02,Cancelled
179,73,2023-06-06,Returned
180,79,2023-01-31,Returned
181,98,2023-02-20,Completed
182,28,2023-11-17,Cancelled
183,11,2023-12-05,Completed
184,23,2023-05-03,Returned
185,21,2023-02-08,Completed
186,58,2023-07-29,Returned
187,61,2023-11-01,Cancelled
188,30,2023-01-17,Cancelled
189,37,2023-12-28,Returned
190,10,2023-08-21,Returned
191,34,2023-04-30,Returned
192,85,2023-10-29,Completed
193,15,2023-08-06,Returned
194,83,2023-04-26,Completed
195,19,2023-05-17,Completed
196,22,2023-01-31,Cancelled
197,96,2023-11-01,Returned
198,57,2023-05-28,Completed
199,89,2023-08-28,Cancelled
200,52,2023-12-25,Cancelled
201,70,2023-09-14,Cancelled
202,11,2023-08-13,Returned
203,56,2023-01-21,Returned
204,78,2023-06-15,Cancelled
205,12,2023-01-14,Completed
206,74,2023-12-12,Returned
207,98,2023-01-11,Returned
208,74,2023-05-18,Completed
209,61,2023-03-31,Returned
210,57,2023-11-30,Cancelled
211,75,2023-04-03,Cancelled
212,63,2023-11-22,Completed
213,45,2023-08-29,Cancelled
214,42,2023-06-20,Returned
215,21,2023-02-23,Cancelled
216,89,2023-07-30,Cancelled
217,85,2023-05-28,Cancelled
218,5,2023-10-09,Cancelled
219,41,2023-02-15,Cancelled
220,15,2023-06-15,Cancelled
221,1,2023-09-21,Returned
222,60,2023-10-05,Cancelled
223,25,2023-01-28,Returned
224,80,2023-07-05,Cancelled
225,57,2023-11-17,Completed
226,35,2023-04-15,Returned
227,37,2023-03-09,Cancelled
228,63,2023-12-24,Completed
229,81,2023-01-15,Returned
230,91,2023-05-03,Completed
231,71,2023-06-09,Completed
232,53,2023-10-10,Completed
233,15,2023-04-26,Cancelled
234,83,2023-03-02,Completed
235,92,2023-09-13,Cancelled
236,91,2023-09-18,Cancelled
237,62,2023-08-01,Cancelled
238,59,2023-05-05,Returned
239,50,2023-03-16,Completed
240,66,2023-11-03,Returned
241,9,2023-03-11,Cancelled
242,44,2023-08-01,Returned
243,1,2023-05-17,Cancelled
244,76,2023-06-02,Returned
245,63,2023-12-04,Completed
246,69,2023-08-17,Cancelled
247,43,2023-06-26,Returned
248,49,2023-10-06,Cancelled
249,25,2023-06-14,Returned
250,74,2023-05-03,Cancelled
251,100,2023-04-30,Cancelled
252,41,2023-01-23,Returned
253,91,2023-08-31,Cancelled
254,85,2023-07-17,Returned
255,64,2023-03-19,Completed
256,65,2023-03-06,Returned
257,13,2023-06-19,Cancelled
258,68,2023-02-21,Cancelled
259,93,2023-01-08,Completed
260,84,2023-07-29,Completed
261,61,2023-02-08,Cancelled
262,80,2023-06-23,Returned
263,84,2023-07-23,Completed
264,87,2023-06-18,Returned
265,41,2023-07-14,Returned
266,70,2023-09-07,Completed
267,9,2023-11-13,Completed
268,88,2023-11-20,Cancelled
269,96,2023-04-27,Completed
270,13,2023-08-11,Returned
271,13,2023-12-27,Cancelled
272,89,2023-03-27,Cancelled
273,6,2023-01-15,Cancelled
274,38,2023-01-29,Cancelled
275,56,2023-07-11,Completed
276,68,2023-05-06,Cancelled
277,88,2023-10-17,Completed
278,23,2023-03-29,Completed
279,49,2023-11-09,Returned
280,31,2023-12-16,Cancelled
281,19,2023-10-26,Completed
282,82,2023-08-25,Cancelled
283,33,2023-08-24,Returned
284,60,2023-01-05,Cancelled
285,70,2023-12-13,Completed
286,57,2023-02-07,Cancelled
287,39,2023-10-28,Returned
288,89,2023-08-06,Cancelled
289,39,2023-08-22,Completed
290,62,2023-07-16,Completed
291,49,2023-05-02,Returned
292,74,2023-07-03,Cancelled
293,38,2023-12-25,Completed
294,51,2023-12-04,Cancelled
295,73,2023-01-05,Returned
296,78,2023-01-26,Returned
297,37,2023-09-12,Completed
298,46,2023-11-07,Completed
299,25,2023-11-22,Returned
300,87,2023-05-09,Returned
